,date,open,high,low,close,volume,tic,day
0,2020-07-01,25735.0,25735.0,25735.0,25735.0,0,dji,2
1,2020-07-06,26287.0,26287.0,26287.0,26287.0,0,dji,0
2,2020-07-07,25890.19921875,25890.19921875,25890.19921875,25890.19921875,0,dji,1
3,2020-07-08,26067.30078125,26067.30078125,26067.30078125,26067.30078125,0,dji,2
4,2020-07-09,25706.099609375,25706.099609375,25706.099609375,25706.099609375,0,dji,3
5,2020-07-10,26075.30078125,26075.30078125,26075.30078125,26075.30078125,0,dji,4
6,2020-07-13,26085.80078125,26085.80078125,26085.80078125,26085.80078125,0,dji,0
7,2020-07-14,26642.599609375,26642.599609375,26642.599609375,26642.599609375,0,dji,1
8,2020-07-15,26870.099609375,26870.099609375,26870.099609375,26870.099609375,0,dji,2
9,2020-07-16,26734.69921875,26734.69921875,26734.69921875,26734.69921875,0,dji,3
10,2020-07-17,26671.900390625,26671.900390625,26671.900390625,26671.900390625,0,dji,4
11,2020-07-20,26680.900390625,26680.900390625,26680.900390625,26680.900390625,0,dji,0
12,2020-07-21,26840.400390625,26840.400390625,26840.400390625,26840.400390625,0,dji,1
13,2020-07-22,27005.80078125,27005.80078125,27005.80078125,27005.80078125,0,dji,2
14,2020-07-23,26652.30078125,26652.30078125,26652.30078125,26652.30078125,0,dji,3
15,2020-07-24,26469.900390625,26469.900390625,26469.900390625,26469.900390625,0,dji,4
16,2020-07-27,26584.80078125,26584.80078125,26584.80078125,26584.80078125,0,dji,0
17,2020-07-28,26379.30078125,26379.30078125,26379.30078125,26379.30078125,0,dji,1
18,2020-07-29,26539.599609375,26539.599609375,26539.599609375,26539.599609375,0,dji,2
19,2020-07-30,26313.599609375,26313.599609375,26313.599609375,26313.599609375,0,dji,3
20,2020-07-31,26428.30078125,26428.30078125,26428.30078125,26428.30078125,0,dji,4
21,2020-08-03,26664.400390625,26664.400390625,26664.400390625,26664.400390625,0,dji,0
22,2020-08-04,26828.5,26828.5,26828.5,26828.5,0,dji,1
23,2020-08-05,27201.5,27201.5,27201.5,27201.5,0,dji,2
24,2020-08-06,27387.0,27387.0,27387.0,27387.0,0,dji,3
25,2020-08-07,27433.5,27433.5,27433.5,27433.5,0,dji,4
26,2020-08-10,27791.400390625,27791.400390625,27791.400390625,27791.400390625,0,dji,0
27,2020-08-11,27686.900390625,27686.900390625,27686.900390625,27686.900390625,0,dji,1
