train/reward,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/loss,train/std,train/clip_fraction,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate
-0.036096916,121,16,2048,1,,,,,,,,,,,
0.6625561,122,33,4096,2,0.0002707839012145996,0.2,-0.026893134106649084,0.019218441,5.142749786376953,1.0019629001617432,0.231396484375,10,13.78641011118889,-41.18025734424591,0.00025
-1.5304433,123,49,6144,3,0.005411386489868164,0.2,-0.01675213277922012,0.012040381,31.367902755737305,1.0035433769226074,0.132275390625,20,56.74050506353378,-41.224443197250366,0.00025
3.1869254,124,65,8192,4,0.008407354354858398,0.2,-0.01532680433592759,0.0144221615,9.79956340789795,1.0062447786331177,0.155322265625,30,45.10509185791015,-41.29047288894653,0.00025
2.8940384,125,81,10240,5,0.004284501075744629,0.2,-0.018050118064275013,0.01043624,6.4505414962768555,1.0068097114562988,0.08408203125,40,16.258970165252684,-41.33806545734406,0.00025
1.8380961,124,98,12288,6,-0.005770564079284668,0.2,-0.020225641195429488,0.017687764,22.49886703491211,1.00840163230896,0.164599609375,50,44.66495752334595,-41.362724614143374,0.00025
1.1084496,124,115,14336,7,0.0016469955444335938,0.2,-0.01585036358446814,0.01602402,39.43288803100586,1.0093951225280762,0.1662109375,60,58.08951214551926,-41.40843479633331,0.00025
0.05267552,124,131,16384,8,-0.1061859130859375,0.2,-0.013035235804272816,0.019849688,9.497550964355469,1.010711431503296,0.125634765625,70,22.899527156352995,-41.43455562591553,0.00025
0.5827399,124,147,18432,9,-0.01529693603515625,0.2,-0.0154631939396495,0.015594047,22.527204513549805,1.0136722326278687,0.178955078125,80,32.75819041728973,-41.49626898765564,0.00025
0.2918841,124,163,20480,10,-0.008645057678222656,0.2,-0.0197916267439723,0.025303036,16.87318229675293,1.0170234441757202,0.203662109375,90,39.24716659784317,-41.58486154079437,0.00025
1.2746822,125,180,22528,11,-0.0011789798736572266,0.2,-0.012619048118358478,0.014617417,54.9481315612793,1.018236517906189,0.15146484375,100,78.38618326187134,-41.64726822376251,0.00025
0.14986631,125,196,24576,12,-0.022624492645263672,0.2,-0.019309663446620107,0.023034938,7.916118621826172,1.0200464725494385,0.258203125,110,13.854002630710601,-41.69632785320282,0.00025
-0.25920928,125,212,26624,13,0.01794534921646118,0.2,-0.01316823689849116,0.02069604,32.651702880859375,1.021481990814209,0.2111328125,120,58.686246728897096,-41.741528391838074,0.00025
-0.050404355,125,228,28672,14,0.014452874660491943,0.2,-0.007438329909928143,0.026609236,82.24097442626953,1.0249799489974976,0.29375,130,90.62304159402848,-41.8114990234375,0.00025
3.034336,125,245,30720,15,0.022331714630126953,0.2,-0.010999875771813095,0.022944622,14.61160659790039,1.0262563228607178,0.1634765625,140,35.33380284309387,-41.8735169172287,0.00025
-0.07580721,125,261,32768,16,-0.024818897247314453,0.2,-0.01723568712186534,0.022257702,30.063919067382812,1.0278433561325073,0.2259765625,150,60.777362537384036,-41.91699907779694,0.00025
0.94821453,124,280,34816,17,-0.007215142250061035,0.2,-0.012771054898621514,0.0357844,42.31748580932617,1.0316076278686523,0.337451171875,160,79.29531164169312,-41.998798680305484,0.00025
-0.7280321,124,296,36864,18,0.017196834087371826,0.2,-0.01833974534529261,0.019304458,21.57562828063965,1.032170295715332,0.1912109375,170,65.83152936697006,-42.05899798870087,0.00025
-1.1147597,124,312,38912,19,0.0315626859664917,0.2,-0.015640033705858515,0.01891324,9.216719627380371,1.034472942352295,0.1712890625,180,22.30675031542778,-42.09304795265198,0.00025
-0.33826074,124,328,40960,20,0.033040523529052734,0.2,-0.012345235311659052,0.015094639,44.118934631347656,1.0352187156677246,0.134375,190,134.13333940505981,-42.14087536334991,0.00025
-12.221691,123,347,43008,21,0.009371638298034668,0.2,-0.011601093469653278,0.023043368,24.536409378051758,1.0357506275177002,0.18916015625,200,87.01644895076751,-42.151332998275755,0.00025
3.3311608,123,363,45056,22,-0.05769836902618408,0.2,-0.019668507447931916,0.021534966,16.101219177246094,1.0361000299453735,0.17373046875,210,31.824574732780455,-42.17003798484802,0.00025
0.68813866,124,379,47104,23,0.004951179027557373,0.2,-0.014449796968256124,0.015359257,38.14631652832031,1.0371997356414795,0.12646484375,220,86.28146715164185,-42.184570813179015,0.00025
7.931518,124,395,49152,24,0.012192785739898682,0.2,-0.01453880470362492,0.030816326,38.21426773071289,1.0382928848266602,0.23876953125,230,105.07848107814789,-42.22126522064209,0.00025
0.0051176627,124,412,51200,25,0.002656102180480957,0.2,-0.011320126717328094,0.022385025,60.03974914550781,1.040187120437622,0.184716796875,240,116.92731623649597,-42.256347155570985,0.00025
-0.28766206,124,428,53248,26,0.008639693260192871,0.2,-0.010322136341710576,0.039191872,13.433845520019531,1.0435583591461182,0.277978515625,250,23.237724989652634,-42.322813510894775,0.00025
-0.21182822,124,444,55296,27,0.004976034164428711,0.2,-0.01218312382698059,0.027830768,50.63396072387695,1.0455118417739868,0.191943359375,260,120.7992036819458,-42.40328335762024,0.00025
-0.98595643,124,461,57344,28,-0.0052318572998046875,0.2,-0.011132660551811568,0.022278806,147.19496154785156,1.046907663345337,0.21572265625,270,261.3793148040771,-42.45464713573456,0.00025
1.5933386,124,478,59392,29,-0.03135359287261963,0.2,-0.010653292888309806,0.026896972,19.14266014099121,1.049252986907959,0.320458984375,280,34.762184631824496,-42.49920513629913,0.00025
1.5954332,124,494,61440,30,0.0075724124908447266,0.2,-0.017315765703096987,0.02488761,65.15259552001953,1.050159215927124,0.2453125,290,141.53105043172837,-42.537156510353086,0.00025
0.21393205,124,511,63488,31,0.041895270347595215,0.2,-0.009489735701936296,0.02903176,34.84613037109375,1.0523546934127808,0.241064453125,300,105.40299520492553,-42.58685097694397,0.00025
-1.9982014,124,527,65536,32,0.04023146629333496,0.2,-0.00869105344172567,0.016292362,17.40999984741211,1.0538631677627563,0.191015625,310,45.40820285081863,-42.63856203556061,0.00025
-0.6926965,124,544,67584,33,0.030876755714416504,0.2,-0.01636613251757808,0.022031048,25.347009658813477,1.0551174879074097,0.197705078125,320,85.0528217792511,-42.6723224401474,0.00025
1.214887,124,560,69632,34,0.10607236623764038,0.2,-0.00738476975238882,0.023266971,144.4854736328125,1.0575729608535767,0.19697265625,330,268.35062246322633,-42.717400026321414,0.00025
0.7790559,124,577,71680,35,0.03152507543563843,0.2,-0.005024991015670821,0.021608349,37.61155319213867,1.0590461492538452,0.248193359375,340,53.46565411090851,-42.780544424057005,0.00025
-3.8811111,123,598,73728,36,0.1572873592376709,0.2,-0.011671060946537182,0.017319236,8.637081146240234,1.0598090887069702,0.20576171875,350,23.315694373846053,-42.81436553001404,0.00025
-0.6844239,123,615,75776,37,0.07013887166976929,0.2,-0.009162479001679458,0.01690711,119.88582611083984,1.0620813369750977,0.1548828125,360,190.95757014751433,-42.85091931819916,0.00025
-13.400137,123,631,77824,38,0.13089889287948608,0.2,-0.008616528048878535,0.02698991,143.09793090820312,1.064173698425293,0.273388671875,370,178.1494034767151,-42.91233870983124,0.00025
-3.741211,123,648,79872,39,0.22901147603988647,0.2,-0.007235645182663575,0.055440433,30.955598831176758,1.0694531202316284,0.2900390625,380,45.4367129445076,-43.00707950592041,0.00025
0.03622075,123,664,81920,40,0.1812930703163147,0.2,-0.017637440442922526,0.014082238,115.67091369628906,1.070573329925537,0.13701171875,390,158.11125602722169,-43.102451634407046,0.00025
0.22896056,123,681,83968,41,0.20982229709625244,0.2,-0.01322549362666905,0.022111297,156.9092254638672,1.0718475580215454,0.194384765625,400,262.748283290863,-43.130253767967226,0.00025
-1.1876119,123,697,86016,42,0.09263992309570312,0.2,-0.007414268792490475,0.020924803,197.57891845703125,1.0719095468521118,0.241064453125,410,192.30509684085845,-43.14802296161652,0.00025
