train/reward,train/n_updates,train/actor_loss,time/time_elapsed,time/episodes,train/critic_loss,time/fps,train/learning_rate,time/total_timesteps
7.616742,11471,75.69528198242188,149,4,216.26153564453125,77,0.001,11572
7.616742,23043,43.42527389526367,299,8,30.24028778076172,77,0.001,23144
7.616742,34615,33.17863845825195,448,12,12.221755981445312,77,0.001,34716
7.616742,46187,26.69870948791504,599,16,15.517518043518066,77,0.001,46288
