train/reward,train/explained_variance,train/n_updates,train/policy_loss,train/std,train/value_loss,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,time/total_timesteps,time/iterations
0.44829795,0.0,99,-107.28197479248047,0.9994266033172607,9.827497482299805,6,73,-41.13100814819336,0.0007,500,100
-2.6805062,0.0,199,-81.65265655517578,1.0004879236221313,5.305030345916748,11,90,-41.15826416015625,0.0007,1000,200
6.0222664,5.960464477539063e-08,299,-144.32994079589844,1.0007195472717285,11.725662231445312,15,98,-41.172481536865234,0.0007,1500,300
0.4159002,-0.2516303062438965,399,-31.250696182250977,1.0004781484603882,6.843817234039307,19,102,-41.14899444580078,0.0007,2000,400
-16.504211,0.0,499,831.06298828125,1.0010603666305542,621.2640991210938,23,105,-41.178585052490234,0.0007,2500,500
-0.111250125,0.02392798662185669,599,130.3409881591797,0.9997875690460205,12.269814491271973,27,107,-41.137847900390625,0.0007,3000,600
-2.5264087,0.0,699,-94.64153289794922,0.9967325329780579,5.76103401184082,31,109,-41.04871368408203,0.0007,3500,700
-3.3780408,0.0,799,39.71009063720703,0.9988690614700317,1.783315658569336,36,110,-41.10897445678711,0.0007,4000,800
-2.7616417,0.0,899,262.0877380371094,0.9998746514320374,47.14116287231445,40,111,-41.14002990722656,0.0007,4500,900
-6.8069644,1.1920928955078125e-07,999,-83.39920043945312,1.000400185585022,5.864487648010254,44,112,-41.14756774902344,0.0007,5000,1000
-1.0537128,-0.01546788215637207,1099,-83.4424057006836,0.9999967217445374,13.53751277923584,48,112,-41.13941955566406,0.0007,5500,1100
0.24483411,0.06136453151702881,1199,-71.15118408203125,0.9980261325836182,3.125824451446533,52,113,-41.08552932739258,0.0007,6000,1200
-3.14824,-1.1920928955078125e-07,1299,-20.280405044555664,0.9973340034484863,3.5878303050994873,57,113,-41.065643310546875,0.0007,6500,1300
1.29295,-0.020389318466186523,1399,110.20694732666016,0.9982531070709229,8.848433494567871,61,113,-41.088863372802734,0.0007,7000,1400
-0.8264961,0.0,1499,108.08772277832031,0.9959840774536133,7.740344524383545,65,114,-41.0240478515625,0.0007,7500,1500
-0.08224123,-1.1920928955078125e-07,1599,142.7843780517578,0.9979764819145203,14.54919147491455,69,114,-41.08547592163086,0.0007,8000,1600
1.7476935,-0.06811046600341797,1699,-71.4694595336914,0.9968722462654114,17.721601486206055,74,114,-41.051185607910156,0.0007,8500,1700
0.6324917,-0.006220340728759766,1799,-73.01651763916016,0.9944102764129639,3.4343228340148926,78,114,-40.97649002075195,0.0007,9000,1800
0.20377894,0.0,1899,-39.067386627197266,0.9946190118789673,1.2085472345352173,82,114,-40.990509033203125,0.0007,9500,1900
0.4712003,-2.384185791015625e-07,1999,16.868436813354492,0.9943809509277344,0.645113468170166,86,115,-40.97340393066406,0.0007,10000,2000
1.352369,0.0,2099,21.912551879882812,0.9950592517852783,0.9942488670349121,91,115,-40.99286651611328,0.0007,10500,2100
-6.038066,-0.1270962953567505,2199,113.62617492675781,0.9963709115982056,12.844619750976562,95,115,-41.034645080566406,0.0007,11000,2200
-9.18198,1.1920928955078125e-07,2299,-1981.960205078125,0.9960446953773499,2269.84521484375,99,115,-41.02692413330078,0.0007,11500,2300
0.5940837,0.0,2399,50.60183334350586,0.9963836073875427,4.079086780548096,103,115,-41.03266143798828,0.0007,12000,2400
-2.3551543,5.960464477539063e-08,2499,-27.745071411132812,0.9986426830291748,1.1605724096298218,108,115,-41.09821319580078,0.0007,12500,2500
3.257917,5.960464477539063e-08,2599,39.063629150390625,1.0006834268569946,1.288018822669983,112,115,-41.15507888793945,0.0007,13000,2600
-0.68936497,-1.1920928955078125e-07,2699,-131.37879943847656,0.9986320734024048,11.393942832946777,116,115,-41.104488372802734,0.0007,13500,2700
1.7470409,0.0,2799,541.7562255859375,0.9979820251464844,214.00210571289062,120,116,-41.073829650878906,0.0007,14000,2800
1.8873638,5.960464477539063e-08,2899,-82.77313995361328,0.9969642758369446,4.710806369781494,124,116,-41.04554748535156,0.0007,14500,2900
-0.20238155,-0.05090153217315674,2999,44.82448196411133,0.9982699155807495,1.1316412687301636,128,116,-41.078468322753906,0.0007,15000,3000
-0.21961628,0.0,3099,97.5960922241211,0.9977278113365173,7.959571361541748,133,116,-41.07664108276367,0.0007,15500,3100
-2.8526402,0.008087873458862305,3199,-138.42886352539062,0.9997031688690186,25.92115592956543,137,116,-41.12073516845703,0.0007,16000,3200
-1.5480262,-0.06139206886291504,3299,-20.721481323242188,1.0023385286331177,1.4121235609054565,141,116,-41.200225830078125,0.0007,16500,3300
4.0947967,0.0,3399,95.86988830566406,1.0019294023513794,26.16230583190918,145,116,-41.19666290283203,0.0007,17000,3400
-0.27995098,0.00705033540725708,3499,152.70909118652344,1.000746726989746,18.512731552124023,149,116,-41.156185150146484,0.0007,17500,3500
1.2630055,5.960464477539063e-08,3599,-25.923315048217773,1.0037994384765625,1.260647177696228,154,116,-41.24263381958008,0.0007,18000,3600
3.1950305,0.0,3699,182.01412963867188,1.0041697025299072,28.608905792236328,158,116,-41.25843048095703,0.0007,18500,3700
3.7015467,0.0,3799,43.57609176635742,1.0044070482254028,3.646186113357544,162,116,-41.260189056396484,0.0007,19000,3800
0.6211153,-1.1920928955078125e-07,3899,-65.01835632324219,1.0059915781021118,3.0854151248931885,166,116,-41.30021286010742,0.0007,19500,3900
5.4044576,5.960464477539063e-08,3999,-309.8433532714844,1.0060148239135742,54.7194938659668,171,116,-41.304500579833984,0.0007,20000,4000
